trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
87,False,"{'a': 0.002, 'e': 0.8419791731684999}",25,3,-103.27894354662902,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 1}",1
88,False,"{'a': 0.002, 'e': 0.8402968976584314}",25,13,-15.443028423949304,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 0}",1
89,False,"{'a': 0.002, 'e': 0.838617983337074}",30,0,-147.33102716690942,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
90,False,"{'a': 0.002, 'e': 0.8369424234887681}",20,0,-44.47052123223527,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
91,False,"{'a': 0.002, 'e': 0.835270211411272}",30,0,-111.21562168135537,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
92,False,"{'a': 0.002, 'e': 0.8336013404157353}",20,0,-79.67269077924458,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
93,False,"{'a': 0.002, 'e': 0.8319358038266718}",30,0,-76.1372988896351,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
94,False,"{'a': 0.002, 'e': 0.8302735949819326}",30,10,-57.955088620615456,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
95,False,"{'a': 0.002, 'e': 0.8286147072326806}",20,0,-59.13873301265116,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
96,False,"{'a': 0.002, 'e': 0.8269591339433623}",20,5,-46.31211473502621,"{0: 11, 1: 0, 2: 2, 3: 2, 4: 0}",1
97,False,"{'a': 0.002, 'e': 0.8253068684916823}",30,4,-201.5716351751586,"{0: 13, 1: 0, 2: 10, 3: 0, 4: 3}",1
98,False,"{'a': 0.002, 'e': 0.8236579042685769}",25,0,-169.8251603212186,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
99,False,"{'a': 0.002, 'e': 0.8220122346781865}",20,0,-87.5494486971417,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 2}",1
100,False,"{'a': 0.002, 'e': 0.8203698531378311}",25,6,-107.42461552035284,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 2}",1
101,False,"{'a': 0.002, 'e': 0.8187307530779818}",20,0,-14.272952541972817,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
102,False,"{'a': 0.002, 'e': 0.8170949279422366}",20,0,-42.66933720950895,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
103,False,"{'a': 0.002, 'e': 0.8154623711872927}",30,0,-131.02512326847136,"{0: 16, 1: 3, 2: 10, 3: 0, 4: 1}",0
104,False,"{'a': 0.002, 'e': 0.8138330762829207}",35,0,-79.65792814908461,"{0: 24, 1: 5, 2: 4, 3: 2, 4: 0}",0
105,False,"{'a': 0.002, 'e': 0.812207036711939}",20,9,-66.4746920511589,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
106,False,"{'a': 0.002, 'e': 0.8105842459701871}",20,0,-85.17782661754347,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
107,False,"{'a': 0.002, 'e': 0.8089646975664998}",20,0,-88.53222447841213,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
108,False,"{'a': 0.002, 'e': 0.8073483850226815}",30,1,-137.1174150931985,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 2}",1
109,False,"{'a': 0.002, 'e': 0.8057353018734796}",20,0,-88.55708977908579,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
110,False,"{'a': 0.002, 'e': 0.8041254416665596}",20,0,-63.28646969660046,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
111,False,"{'a': 0.002, 'e': 0.8025187979624785}",25,0,-271.0145700351422,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 5}",0
112,False,"{'a': 0.002, 'e': 0.8009153643346592}",30,0,-149.8892671031112,"{0: 17, 1: 4, 2: 5, 3: 3, 4: 1}",0
113,False,"{'a': 0.002, 'e': 0.7993151343693651}",20,0,-123.35508193714739,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
114,False,"{'a': 0.002, 'e': 0.7977181016656743}",20,12,-9.083745514777027,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
115,False,"{'a': 0.002, 'e': 0.7961242598354538}",30,0,-233.68814749764232,"{0: 14, 1: 4, 2: 7, 3: 2, 4: 3}",0
116,False,"{'a': 0.002, 'e': 0.794533602503334}",20,0,-34.011368042024586,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
117,False,"{'a': 0.002, 'e': 0.7929461233066837}",25,0,-100.39439259467203,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
118,False,"{'a': 0.002, 'e': 0.7913618158955839}",30,0,-45.5828300111588,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
119,False,"{'a': 0.002, 'e': 0.7897806739328027}",30,0,-81.1626102085439,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
120,False,"{'a': 0.002, 'e': 0.7882026910937704}",20,16,5.40143082714843,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.002, 'e': 0.7866278610665535}",20,0,-47.02948457936842,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
122,False,"{'a': 0.002, 'e': 0.7850561775518295}",20,0,-66.84264251077224,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
123,False,"{'a': 0.002, 'e': 0.7834876342628625}",20,0,-56.78391100924508,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
124,False,"{'a': 0.002, 'e': 0.7819222249254772}",25,0,-68.88064049008149,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
125,False,"{'a': 0.002, 'e': 0.7803599432780343}",25,0,-79.86533036537773,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
126,False,"{'a': 0.002, 'e': 0.7788007830714049}",20,3,-124.23210808124534,"{0: 8, 1: 1, 2: 5, 3: 2, 4: 1}",1
127,False,"{'a': 0.002, 'e': 0.7772447380689461}",20,0,-53.014088599992206,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
128,False,"{'a': 0.002, 'e': 0.775691802046476}",25,13,4.44637273518368,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.002, 'e': 0.7741419687922484}",20,0,-49.16110649634083,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
130,False,"{'a': 0.002, 'e': 0.772595232106928}",30,0,-66.69774347539592,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
131,False,"{'a': 0.002, 'e': 0.7710515858035663}",20,0,-69.10042845251547,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
132,False,"{'a': 0.002, 'e': 0.7695110237075758}",20,0,-58.86147835764973,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
133,False,"{'a': 0.002, 'e': 0.7679735396567061}",20,12,13.740237273277447,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.002, 'e': 0.7664391275010192}",20,6,-57.29497628755134,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
